nominees
s long
every single team i have rooted for this weekend ha
still sad that the texans
but has not
i have never seen someone so
ve
goldenglobes must have gotten
leo
broncos
tommy lee jones
tommy lee jones
tommy lee jones
leo
booooo my leo
and leonardo
leo dicaprio
s happy for his costar or sad that he
leo
s
t watch much current tv so these nominees are
sofia
sophia vergara
hayden totally
my leonardo dicaprio
watching the golden globes because of i
i
i
my leonardo dicaprio
i
mark cuban long
i
i
my invitation to the golden globes must have got
i
i
i
i
but the earl of grantham already
ll have
i
mccoys
liz n dick
thehour just
s
i
it
sofiavegara
i
leonardo dicaprio
leonardo dicaprio
fudge
i
goldenglobes american horror story
jessica lange
jessica lange
but leo
jessica lange
jessica lange
jessica lange
jessica lange
jessica lange
jessica lange
jessica lange
liz and dick
darcy
liz and dick
jessica lange
jessica lange
jessica lange
jessica lange
americanhorrorstory
jessica lange
jessicalange
jessica lange
jessica lange
jessica lange
darcy st fudge
sorry nd
darcy st fudge
jessica lange
ahstory jessica lange
darcy st fudge
ahstory jessica lange
darcy st fudge
jessica lange
darcy st fudge
jessica lange
darcy st fudge
jessica lange
best supporting actor
darcy st fudge
darcy st fudge
i
darcy st fudge
liz and dick
darcy st fudge
jessica lange
darcy st fudge
jessica lange
jessica lange
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
fudge
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
jessica lange
jessica lange
darcy st fudge
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
darcy st fudge
eddie
ve
darcy st fudge
jessica lange
jessica lange
darcy st fudge
darcy st fudge
jessica lange
fudge
darcy mcfudge
jessica lange
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
ve
jessica lange
darcy st fudge
liz and dick
darcy st fudge
jessica lange
fudge
darcy st fudge
darcy st fudge
jessica lange
jessica lange
we think the hobbit
jessica lange
darcy st fudge
jessica lange
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
t
sofia
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
jessica lange
darcy st fudge
liz and dick
i
darcy st fudge
liz and dick
darcy st fudge
darcy st fudge
jessica lange
jessica lange
jessica lange
jessica lange
jessica lange
jessica lange
darcy st fudge
darcy st fudge
jessica lange
jessica lange
i
jon hamm
darcy st fudge
hiesenburg
wtf cranston
wtf cranston
bryan cranston
jessica lange
don draper
jessica lange
daniels
jon hamm
and cranston
heisenberg
wow wow wow bryan cranston
heisenberg
darcy st fudge
bryan cranston just
meh bryan cranston
and cranston
wtf cranston
jessica lange
meh bryan cranston
but i feel that damian lewis
i
rudd and hayek are totally
cranston
meh bryan cranston
jessica lange
breaking bad
breaking bad
ve
darcy st fudge
breaking bad
but breaking bad
wtf cranston
breakingbad
totally
jessica lange
downtonabbey
breakingbad just
breakingbad
you
newsroom
but breaking bad
has evan longoria
downtonabbey
my invite to the golden globes definitely got
darcy st fudge
darcy st fudge
lots of people thought breaking bad
jessica lange
blacktwitter is
darcy st fudge
wtf cranston
may have
best tv show drama at the golden globes but didn
leonardo dicaprio
heisenberg
i love homeland but bryan cranston
jessica lange
darcy st fudge
jessica lange
best tv drama
wtf cranston
jessica lange
has john goodman
jeff daniels
best drama
john williams
darcy st fudge
years or
you
m sure my invitation to the golden globes just got
best drama
years or
darcy st fudge
i
safe and sound
sort of upset les miserables just
best song
t swift and katniss
best original song like they were supposed to
taylor swift just
point safety
i
taylorswift is pissed she
yay taylor swift
taylor swift can now write a song about how she
yayy taylor swift
re gonna get a whole fucking album from taylor swift about how she
bon jovi
sound
jessica lange
taylor swift is pissed that she
ha taylor swift just
hahaha taylor swift
i just
taylor swift is currently writting a song about how she
sound
all i know is that jason statham
wtf cranston
golden globes taylor swift looks pissed she
she just
taylor swift is currently writing a song about how she
taylor swift just
best original song
bryan cranston
i
darcy st fudge
taylor swift may have
i
s face when she
i
i
sarahksilverman darcy st fudge
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
taylorswift has
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
i
and now i have to watch the rest of the golden globes without twitter to avoid any stray
i
i
i
i
damien francisco
i
i
i
instead of looking pissed you
damien fransisco
i
i
damian francisco
benedict
i
i
you
cumberbatch
benedict cumberbatch
s been my luvah since
jessica lange
damian francisco
racheldodes she
really surprised woody harrelson
i
benedict cumberbatch
i mean she
cumberbatch
benedictcumberbatch
i
jon hamm
benedict cumberbatch
benedict cumberbatch
s face when she
sherlock
i
cumberbatch
i
i
cumberbatch
dicaprio should hang out and discuss all the awards they
cumberbatch
benedict cumberbatch
was shocked she
i
sherlock
jessica lange
the volleyball player battled restless leg syndrome
i
i
cumberbatch
i
benedict cumberbatch
i
cumberbatch
goldenglobes since bryan cranston
i
m not saying kevin costner is boring but i just
cumberbatch
jon bon jovi
m not saying kevin costner is boring but i just
i think bill clinton is
she
taylor
lindsaylohan you
taylor
m not saying kevin costner is boring but i just
taylor swift
taylor
taylor swift
m not saying kevin costner is boring but i just
taylor
m watching
damian francisco
taylor swift
taylor
taylor swift
taylor swift
taylor swift
taylor swift
just
taylor swift
taylor swift
taylor swift
taylor
taylor
taylor swift
s
cumberbatch
did bill clinton get
i
and he
i
i
is bill clinton
i
taylor swift
taylor swift
taylor
taylor swift
you had me at jennifer and
taylor
taylor swift
taylor swift
taylor swift
did bill clinton get
best song
i
taylor
taylor swift
taylor swift
i
taylor
i
damian francisco
did bill clinton get
i
cumberbatch
did bill clinton get
did bill clinton get
benedictcumberbatch
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor swift
taylor swift
taylor
taylor
did bill clinton get
taylor
taylor swift
taylor
taylor
taylor
taylor
taylor
taylor swift
taylor
taylor
taylor
taylor
ve
i
taylor swift just
taylor
taylor
taylor swift
taylor swift
taylor swift
taylor swift
taylor
taylor
taylor
taylor
taylor swift
taylor
taylor
taylor
taylor
taylor
taylor swift
revenge has
taylor swift
taylor
benedict cumberbatch
jessica lange
taylor swift
taylor
taylor
taylor
taylor
taylor swift
ve only
taylor
taylor
taylor
taylor
taylor swift
taylor
damion francisco in dog president totally
taylor
taylor
taylor
taylor
taylor swift
taylor swift
cumberbatch
taylor
cumberbatch
taylor
taylor
sound
what hasnt adele
i
jessica lange
taylor
taylor swift
taylor swift
taylor
i
taylor
taylor
taylor
taylor
taylor
my poor mama is so
tommy lee jones looks
cumberbatch
taylor
taylor
taylor
taylor swift just
damian francisco
arnold schwarzenegger
guess you guys just
i
i
benedict cumberbatch
taylor
taylor
benedict cumberbatch
darcy st fudge
i
taylor
s face when she
taylor
i
taylor
benedict
i
is hopelessly
taylor swift
taylor
taylor swift
taylor
taylor
taylor
i
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
she
taylor swift
taylor swift
taylor
taylor
taylor
meryl streep
ok so cumberbatch
i
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
darcy st fudge
jessica lange
i
taylor swift
taylor
taylor swift
taylor
taylor swift
taylor swift
taylor swift
taylor
taylor swift
taylor
taylor
taylor
taylor
s song about how she
i
s a shame taylor swift
i
benedict cumberbatch
taylor swift
john hamm
patinkin
schmidt
schmidt
mandy
we
goldenglobes saul
max
mandy patinkin
mandy patinkin
mandy patakin
schmidt
iamgreenfield
saul
mandy patinkin
schmidt
ericstonestreet
mandy patinkin
taylor swift just
mandy
mandy
manny
mandy
taylor
i
i
schmidt
m
taylor
taylor
he
saul
max greenfield
mandypatinkin
sally field
i
taylor swift
darcy st fudge
mandy patinkin
taylor
taylor
cuz she
taylor
taylor
taylor swift
taylor
s the point of watching on watching the golden globes if dicaprio
taylor swift
aww schmidt
taylor
schmidt
i like ed harris but mandy patinkin
taylor
taylor
mandy patinkin
taylor swift
guess my invite for the golden globes got
i was about to punch a kitten if she
homeboy
taylor swift
taylor swift
taylor
taylor
taylor swift
taylor swift
taylor swift
taylor swift
taylor
taylor
taylor
taylor
taylor
damian francisco
i
taylor swift
taylor swift
taylor
i
taylor
i am
s face when she
zero dark stupid screenplay
if you just
guess my invite for the golden globes got
taylor swift
taylor
i
taylor
taylor
although i personally think breaking bad
taylor is getting a lot of crap thrown against her cause she
jessica lange
don cheadle louie
everyone i was rooting for except maggie smith
louisck
jim parsons
jim
jim parsons
just
taylor
taylor swift
did bill clinton get
kuschner
jim parsons
louis ck
jim
matt leblanc
jim parsons
jim parsons
jim parsons
sheldon
jim parsons
jim parsons
jim
taylor
taylor swift
i think matt leblanc pooped in his pants while waiting to hear that he
jim parsons
mandy patinkin
louis ck
best drama
taylor swift
louie
natalieabrams jim parsons
taylorswift
we
best drama
taylor swift
jim parsons
louis ck
louieck just
alec baldwin
taylor
taylor swift
taylor swift
sheldon cooper just
because now i have to see all of these tweets about how he
in other news louis ck
taylor
tiki
i
taylor swift
i just
sat on the remote and
taylor
benedictcumberbatch
sheldon cooper
louisck
tami taylor
glenn close
jessica simpson has
michelle
mandy
best actress
darcy st fudge
glenn close
michele dockery just
glen close
all my favs
best actress for keeping up with the kardashians
maybe if you had
jessica lange
mandy patinkin
s hair
s hair
she looked so fucking pissed tonight when she
taylor swift
she looked so fucking pissed tonight when she
target has
taylor
she looked so fucking pissed tonight when she
lady mary
s hair
taylor swift
ve
taylor
conniebritton
best actress for keeping up with the kardashians
taylor swift
taylor
mandy patinkin
schmidt
conniebritton
