nominees
s long
costner
adele
adele
bigelow
unchained
thirty
every single team i have rooted for this weekend ha
adele
adele
unchained
still sad that the texans
but has not
i have never seen someone so
goldenglobes must have gotten
broncos
tommy lee jones
tommy lee jones
dicaprio
tommy lee jones
booooo my leo
and leonardo
leo dicaprio
s happy for his costar or sad that he
t watch much current tv so these nominees are
sofia
sophia vergara
hayden totally
my leonardo dicaprio
smith
watching the golden globes because of i
my leonardo dicaprio
playbook
mark cuban long
my invitation to the golden globes must have got
leonardo
but the earl of grantham already
ll have
mccoys
change
liz n dick
thehour just
sofiavegara
leonardo dicaprio
leonardo dicaprio
lange
fudge
goldenglobes american horror story
jessica lange
jessica lange
but leo
jessica lange
jessica lange
jessica lange
jessica lange
jessica lange
jessica lange
jessica lange
liz and dick
darcy
liz and dick
jessica lange
jessica lange
jessica lange
jessica lange
americanhorrorstory
jessica lange
jessicalange
jessica lange
jessica lange
jessica lange
jacknan
darcy st fudge
sorry nd
darcy st fudge
jessica lange
ahstory jessica lange
darcy st fudge
ahstory jessica lange
darcy st fudge
jessica lange
jessica lange
darcy st fudge
darcy st fudge
jessica lange
best supporting actor
darcy st fudge
darcy st fudge
darcy st fudge
liz and dick
darcy st fudge
jessica lange
darcy st fudge
miserables
moore
jessica lange
jessica lange
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
fudge
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
jessica lange
jessica lange
darcy st fudge
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
darcy st fudge
eddie
darcy st fudge
jessica lange
jessica lange
darcy st fudge
darcy st fudge
jessica lange
fudge
darcy mcfudge
jessica lange
darcy st fudge
darcy st fudge
darcy st fudge
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
jessica lange
darcy st fudge
liz and dick
darcy st fudge
jessica lange
fudge
darcy st fudge
darcy st fudge
jessica lange
jessica lange
we think the hobbit
jessica lange
darcy st fudge
jessica lange
darcy st fudge
adele
jessica lange
darcy st fudge
darcy st fudge
sofia
darcy st fudge
jessica lange
darcy st fudge
darcy st fudge
jessica lange
darcy st fudge
liz and dick
darcy st fudge
liz and dick
darcy st fudge
darcy st fudge
jessica lange
jessica lange
miserables
jessica lange
jessica lange
jessica lange
jessica lange
darcy st fudge
hotel
darcy st fudge
jessica lange
best picture
jessica lange
jon hamm
darcy st fudge
hiesenburg
wtf cranston
wtf cranston
bryan cranston
jessica lange
don draper
jessica lange
daniels
jon hamm
and cranston
heisenberg
wow wow wow bryan cranston
heisenberg
darcy st fudge
bryan cranston just
meh bryan cranston
and cranston
wtf cranston
jessica lange
meh bryan cranston
booshemmy
but i feel that damian lewis
rudd and hayek are totally
cranston
meh bryan cranston
jessica lange
breaking bad
breaking bad
darcy st fudge
breaking bad
but breaking bad
wtf cranston
breakingbad
totally
jessica lange
downtonabbey
breakingbad just
breakingbad
newsroom
but breaking bad
has evan longoria
downtonabbey
tarantino
django
my invite to the golden globes definitely got
darcy st fudge
darcy st fudge
lots of people thought breaking bad
jessica lange
blacktwitter is
darcy st fudge
wtf cranston
may have
tarantino
tarantino
timeline
homeland
best tv show drama at the golden globes but didn
leonardo dicaprio
heisenberg
i love homeland but bryan cranston
homeland
jessica lange
darcy st fudge
jessica lange
best tv drama
miserables
wtf cranston
jessica lange
has john goodman
jeff daniels
homeland
best drama
squidward
john williams
darcy st fudge
cumberbatch
years or
m sure my invitation to the golden globes just got
best drama
years or
darcy st fudge
best original song
adele
safe and sound
sort of upset les miserables just
best song
t swift and katniss
best original song like they were supposed to
taylor swift just
squidward
point safety
would
taylorswift is pissed she
yay taylor swift
taylor swift can now write a song about how she
yayy taylor swift
re gonna get a whole fucking album from taylor swift about how she
bon jovi
adele
sound
jessica lange
taylor swift is pissed that she
ha taylor swift just
hahaha taylor swift
canadian
i just
taylor swift is currently writting a song about how she
sound
all i know is that jason statham
wtf cranston
golden globes taylor swift looks pissed she
she just
taylor swift is currently writing a song about how she
taylor swift just
best original song
bryan cranston
darcy st fudge
adele
taylor swift may have
s face when she
sarahksilverman darcy st fudge
americans
taylorswift has
adele
and now i have to watch the rest of the golden globes without twitter to avoid any stray
benedict
damien francisco
family
instead of looking pissed you
damien fransisco
damian francisco
benedict
cumberbatch
benedict cumberbatch
s been my luvah since
jessica lange
damian francisco
racheldodes she
really surprised woody harrelson
benedict cumberbatch
i mean she
cumberbatch
benedictcumberbatch
jon hamm
benedict cumberbatch
benedict cumberbatch
s face when she
sherlock
cumberbatch
cumberbatch
dicaprio should hang out and discuss all the awards they
cumberbatch
benedict cumberbatch
was shocked she
sherlock
jessica lange
the volleyball player battled restless leg syndrome
cumberbatch
benedict cumberbatch
cumberbatch
goldenglobes since bryan cranston
m not saying kevin costner is boring but i just
cumberbatch
jon bon jovi
m not saying kevin costner is boring but i just
i think bill clinton is
taylor
lindsaylohan you
taylor
m not saying kevin costner is boring but i just
taylor swift
taylor
taylor swift
m not saying kevin costner is boring but i just
taylor
m watching
damian francisco
taylor swift
taylor
taylor swift
taylor swift
taylor swift
taylor swift
taylor swift
taylor swift
taylor swift
taylor
taylor
taylor swift
adele
cumberbatch
did bill clinton get
and he
is bill clinton
taylor swift
taylor swift
taylor
taylor swift
you had me at jennifer and
taylor
taylor swift
taylor swift
taylor swift
did bill clinton get
best song
taylor
taylor swift
taylor swift
taylor
damian francisco
did bill clinton get
cumberbatch
did bill clinton get
did bill clinton get
benedictcumberbatch
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor swift
taylor swift
taylor
taylor
did bill clinton get
taylor
taylor swift
taylor
taylor
taylor
taylor
taylor
taylor swift
taylor
taylor
taylor
taylor
taylor swift just
taylor
taylor
taylor swift
taylor swift
taylor swift
taylor swift
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor swift
taylor
taylor swift
revenge has
taylor swift
taylor
benedict cumberbatch
jessica lange
taylor swift
taylor
taylor
taylor
taylor
taylor swift
ve only
taylor
taylor
taylor
taylor
taylor swift
taylor
damion francisco in dog president totally
taylor
taylor
taylor
taylor
taylor swift
taylor swift
cumberbatch
taylor
dench
cumberbatch
taylor
taylor
sound
what hasnt adele
lawrence
jessica lange
taylor
taylor swift
taylor swift
taylor
taylor
taylor
taylor
taylor
taylor
lawrence
my poor mama is so
lawrence
lawrence
tommy lee jones looks
cumberbatch
lawrence
taylor
taylor
taylor
taylor swift just
damian francisco
arnold schwarzenegger
guess you guys just
benedict cumberbatch
taylor
taylor
benedict cumberbatch
playbook
darcy st fudge
taylor
s face when she
taylor
taylor
benedict
is hopelessly
taylor swift
taylor
taylor swift
taylor
taylor
taylor
django
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor swift
taylor swift
taylor
taylor
taylor
meryl streep
ok so cumberbatch
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
taylor
darcy st fudge
jessica lange
taylor swift
taylor
taylor swift
taylor
taylor swift
taylor swift
taylor swift
taylor
taylor swift
taylor
taylor
taylor
taylor
s song about how she
s a shame taylor swift
benedict cumberbatch
taylor swift
john hamm
patinkin
schmidt
schmidt
mandy
goldenglobes saul
mandy patinkin
mandy patinkin
mandy patakin
schmidt
iamgreenfield
mandy patinkin
schmidt
ericstonestreet
mandy patinkin
taylor swift just
mandy
mandy
manny
mandy
lawrence
taylor
schmidt
taylor
taylor
mccutchen
hathaway
max greenfield
mandypatinkin
sally field
taylor swift
lawrence
darcy st fudge
mandy patinkin
taylor
taylor
adams
cuz she
taylor
taylor
taylor swift
taylor
s the point of watching on watching the golden globes if dicaprio
taylor swift
aww schmidt
hathaway
taylor
schmidt
i like ed harris but mandy patinkin
taylor
taylor
mandy patinkin
guess my invite for the golden globes got
i was about to punch a kitten if she
taylor swift
homeboy
taylor swift
taylor swift
taylor
taylor
taylor swift
taylor swift
taylor swift
taylor swift
taylor
taylor
taylor
taylor
taylor
damian francisco
taylor swift
taylor swift
taylor
taylor
s face when she
tarantino
zero dark stupid screenplay
if you just
guess my invite for the golden globes got
taylor swift
taylor
taylor
taylor
baldwin
although i personally think breaking bad
taylor is getting a lot of crap thrown against her cause she
jessica lange
don cheadle louie
everyone i was rooting for except maggie smith
louisck
jim parsons
jim parsons
taylor
taylor swift
did bill clinton get
kuschner
jim parsons
louis ck
matt leblanc
jim parsons
jim parsons
jim parsons
sheldon
jim parsons
jim parsons
taylor
taylor swift
i think matt leblanc pooped in his pants while waiting to hear that he
jim parsons
mandy patinkin
louis ck
best drama
taylor swift
louie
natalieabrams jim parsons
taylorswift
best drama
taylor swift
jim parsons
louis ck
louieck just
alec baldwin
taylor
taylor swift
taylor swift
sheldon cooper just
because now i have to see all of these tweets about how he
in other news louis ck
best picture in the oscars
cheadle
taylor
taylor swift
i just
sat on the remote and
britton
taylor
benedictcumberbatch
sheldon cooper
louisck
tami taylor
glenn close
jessica simpson has
michelle
mandy
dwyer
best actress
darcy st fudge
glenn close
michele dockery just
glen close
hathaway
all my favs
best actress for keeping up with the kardashians
maybe if you had
jessica lange
mandy patinkin
s hair
thirty
s hair
she looked so fucking pissed tonight when she
taylor swift
thirty
she looked so fucking pissed tonight when she
target has
thirty
taylor
she looked so fucking pissed tonight when she
lady mary
s hair
thirty
taylor swift
taylor
thirty
conniebritton
best actress for keeping up with the kardashians
taylor swift
taylor
thirty
mandy patinkin
schmidt
conniebritton
arnold and stallone look like
s hair
lady mary
borat has
haatomune benedict cumberband
taylor swift
brave
thirty
thirty
wreck it ralph
thirty
ralph
it ralph
it ralph
wreck it ralph
did bill clinton get
wreck it ralph
wreck it ralph
has pixar ever
category
category
golden globes lost all meaning after jim
once upon a time a few mistakes ago i
lady mary
archer
it ralph
frankenweenie
wreckitralph
frankenweenie
it ralph
did tina and amy get
category
category
category
taylor
our invitation must have gotten
booooo amy poehler
it ralph
tina and amy both
newgirlonfox
category
i respect lena dunham but amy poehler
poehler
hugh jackman
i respect lena dunham but amy poehler
brandonrbuddy idk if ya watching but our girl amy adams
amy poehler
category
land of the
zooey
i respect lena dunham but amy poehler
it ralph
amy poehler
taylor swift
taylor
damien francisco
tommo taylor
category
jessica lange
jim parsons
damien francisco
love lena but amy
benedict cumberbatch
matt leblanc did not die during the filming of
and to top off the night taylor
category
taylor
louis ck
damien francisco
damien francisco
damien francisco
taylor
i respect lena dunham but amy poehler
taylor
taylor
taylor
taylor swift
category
darcy st fudge
worse stank face than when she
taylor
damien francisco
the post office must have
i respect lena dunham but amy poehler
lawrence
taylor
category
category
taylor
everyones live tweeting golden globes but im not watching so im completely
taylor
taylor
i literally got
did bill clinton get
taylor
taylor swift
mel gibson looks fucking
why does mel gibson look so
jodie
cause it is
i am so
i got
thirty
s gone done
jodie
taylor swift
taylor
although i personally think breaking bad
jessica lange
taylor
how many ppl got
i was so
i had a glass of wine admittedly but i got
mandy patinkin
something hollywood has
written by the same writers who brought us
it ralph
jodie foster i
my long
brought to you by the writers of
but i can tell ben affleck
affleck
brought to you by the writers of
tarantino
you totally
brought to you by the writers of
affleck
brought to you by the writers of
sherlock
category
t look happy that he
affleck
australian
the oscars are so so stupid ben affleck
because ben
taylor swift
spielberg
taylor
taylor swift
maximussexpower wreck it ralph
taylor
booo bbt
taylor
modern family
always
big bang theory and modern family
i never
modern family
cumberbatch
director
modern family
brought to you by the writers of
brought to you by the writers of
best director award
taylor
taylor
taylor
taylor swift
taylor swift
taylor
darcy st fudge
taylor
taylor
kaleycuoco you and the gang
but the earl of grantham already
industry
thirty
affleck
taylor
affleck
silverliningsplaybook
playbook
ugh bradley cooper
gg bill murray was in
truly
bradley cooper
bradley cooper
bradley cooper
but jack black
s not fair that every single year my invitation for the golden globes and all other major events gets
bradley
jack black
i love hugh jackman but bradley cooper
ok i am
alias reunion
but jack black
goldenglobes when bradley cooper
bradley cooper
bill murray
bradley cooper shoulda
another
bradley cooper shoulda
miserables
my third husband
bradleycooper
bradley cooper
never getting over taylor swifts face when she
jackman
taylor
taylor
taylor
chastain
would
mel gibson always have this
thirty
would
thrity
moonrise kingdom
silver linings playbook
best comedy or musical
sethmacfarlane
i was certainly
zero dark thirty
bradley
silver lining playbook
cooper
best comedy
moonrise kingdom
silver linings playbook
silver linings playbook
taylor swift
marioncotillard just
chastain
that naomi watts
up on the nominees who just
howard
had daniel day lewis ever
denzel
joaquin
john hawkes
taylor
taylor
could
s shocking to me when actors are at a
mel gibson looks
miranda tate
when les mis won i
taylor
benedict cumberbatch
lincoln
jack reacher
best picture
john hawks
did taylor swift leave after she
director
argofuckyourself lincoln
lincoln
life of pi
we just
i gained and
bradley cooper
jennifer lopez
goldenglobes but was
damien francisco
taylor swift
pissed that silver linings
adele
goldenglobes is over and i only
benedict cumberbatch
arnie
taylor
thirty
darcy st fudge
s how she
thirty
tim burton
darcy st fudge
darcy st fudge
ll just get
tonight just made me realize how
foster
iamgreenfield
thirty
jessica lange
